tag_type,description,role_caveat
actor_motivation,"Claimed or discussed motivation such as financial, espionage, influence, disruption, or hacktivism",A mention does not prove attribution or primary motive
ai_technology,"AI capability family such as generative AI, LLM, agentic AI, deepfake, voice synthesis, or OCR",May describe defensive or experimental use
ai_use_case,How AI is described as supporting attacker activity,Requires evidence-role review before incident coding
attack_vector,Delivery or access vector discussed in the publication,May be background guidance rather than observed in the focal event
campaign,Named operation or campaign,Confirm that the campaign is the focal activity and not a cited comparison
country_or_region,Country or region mentioned in the publication,"Does not encode actor origin, victim location, infrastructure location, or publisher location; add role manually"
cve,Explicit CVE identifier,Does not prove exploitation in the focal incident
data_type,"Data category discussed as targeted, stolen, generated, or processed",Add action and victim role manually
evidence_landscape,"Observed, provider telemetry, underground, PoC, controlled study, forecast, or landscape context",Use to stratify evidence strength
impact,"Outcome such as fraud, ransomware, data theft, credential compromise, espionage, or disruption",May be risk discussion rather than realized impact
infrastructure,"Environment or channel such as cloud, SaaS, endpoint, mobile, browser, email, social media, or messaging","May be target, delivery channel, or defensive environment"
kill_chain_phase,Lockheed Martin Cyber Kill Chain phase inferred from explicit behavior terms,Keyword mapping is broader than analyst-confirmed phase assignment
llm_model,"Named model or product such as ChatGPT, GPT-4, Claude, Gemini, Copilot, Llama, Mistral, Grok, or DeepSeek",Mention does not prove attacker use
llm_provider,Provider normalized from model/provider mentions,Mention does not prove attacker account ownership or successful use
malicious_ai_tool,AI tool explicitly marketed or described for malicious use,Validate tool existence and operational status
malware_or_tool,"Named malware, ransomware, backdoor, RAT, stealer, botnet, or offensive tool",May appear only as comparative background
mitre_attack_id,Explicit ATT&CK technique ID present in source text,No ATT&CK IDs are invented from prose
mitre_tactic,Broad ATT&CK tactic inferred from explicit behavior words,Requires analyst confirmation
sector,Industry or sector mentioned,Does not distinguish victim sector from report-wide context
target,Target-person or target-population type,May be hypothetical or preventive guidance
threat_group,Normalized known actor or criminal-group name,May be cited rather than focal
threat_group_identifier,Explicit APT/UNC/TA/UAT/Storm/DEV identifier,May be cited rather than focal
ttp,"Descriptive behavior such as spearphishing, credential harvesting, malware generation, obfuscation, C2, or exfiltration",Behavior is keyword-supported but not automatically an analyst-confirmed TTP
