case,name,native_outcome,reference_family,affected_ip,affected_ip_in_short_report,matches,gaps
2020-04-24,Steelcoffee,partial,Qakbot / Qbot,10.0.0.167,True,"Correct affected workstation, user, download server, disguised payload and exact SHA-256.",The native report does not identify Qakbot or reconstruct its later activity. It spends space on another ZIP transfer whose relevance is unresolved.
2020-03-14,Mondogreek,partial,Trickbot,10.3.11.194,True,Correct victim IP and follow-up download server; two selected payload hashes match the answer exactly.,"Initial payload, user/hostname, Trickbot identification and post-infection destinations are absent from the short report."
2020-02-21,One-Hot-Mess,partial,Dridex,172.17.8.174,True,"Correct victim, account, download domain/server and transfer.",Misses Dridex and the later suspicious TLS activity. The claim that no post-download malicious behavior is supported is broader than the selected evidence justifies.
2020-01-30,Sol-Lightnet,partial,Hancitor,10.20.30.227,True,"Correct workstation/user, executable download, hash and follow-on POST destinations.",Hancitor identification and the later encrypted payload stage are absent.
2019-12-25,It happened on Christmas day,missed,,10.12.25.101,False,"Contains the external scanner and server addresses, but does not explain their correct security roles.","Wrong core scenario; omits the internal victim. Targeted server URLs are presented as beaconing-review indicators. It also suggests contacted URLs received reputation checks, although full-URL enrichment was not performed."
2019-12-03,Icemaiden,missed,Ursnif,10.18.20.97,True,"Correct workstation, IP and account.",Misses the incident and family; overgeneralises normal directory activity into a lack-of-compromise finding.
2019-11-12,Okay-Boomer,partial,,10.11.11.203,True,"Correct victim, identity, disguised payload URL and SHA-256.",Omits the subsequent connection attempts. The exact payload is not included in the short IOC list; the new extension-mismatch rule does not yet cover .tiff.
2019-08-20,Badbundt,withheld,"Ursnif / Gozi, then Trickbot",10.8.20.101,False,Not scored as a native summary success: report writing was withheld.,"No saved incident story, family explanation or short IOC action list."
2019-07-19,So hot right now,partial,SocGholish / FakeUpdates delivering NetSupport Manager,172.16.4.205,True,"Correct host/user, NetSupport-associated traffic and large outbound transfers.",Misses SocGholish delivery and identification of the uploaded content as screenshots. The phrase “exceeding one megabyte each” overgeneralises the cited single aggregated finding.
2019-06-22,Phenomenoc,partial,Rig exploit kit delivering KPOT Stealer,10.0.76.109,True,Correct affected host and delivery server.,"No human user, exploit-kit interpretation, KPOT label or post-infection destination in the short report. A computer account is shown instead of the person’s account."
2019-05-02,BeguileSoft,missed,Hawkeye keylogger,10.0.0.227,True,Correct workstation/account and external port-21 connections.,Misses FTP-based theft and Hawkeye. “Decrypted stream coverage” is misleading: this workflow did not decrypt TLS payloads.
2019-04-15,StingrayAhoy,withheld,"Ursnif, then AZORult",10.0.90.175,False,"No native-summary success. Separately, the extracted hash and direct MalwareBazaar record corroborate the first payload.",No saved short incident story despite useful packet and reputation evidence.
2019-03-19,LittleTigers,partial,Remcos RAT and Dridex,10.0.90.215,True,"Correct affected host/account, both payload servers and both exact SHA-256 hashes.",Remcos/Dridex identification and their later communications are omitted; neither recovered file appears in the short IOC list.
2019-02-23,StormTheory,partial,IcedID / Bokbot with Trickbot,10.2.23.231,True,Correct host and image-extension executable activity.,"Misses the complete six-payload account, user and two malware families; wording risks double-counting troll1.jpg. The extraction comparison below is separate from narrative completeness."
2019-01-28,TimberShade,partial,Dridex,172.17.8.109,True,"Correct victim, user, executable URL and exact SHA-256.",No Dridex identification or concise actionable payload indicator.
2018-12-18,Eggnog Soup,partial,Emotet and IcedID / Bokbot,172.16.3.133,True,Correct affected workstation and relevant transfer focus.,No Emotet/IcedID interpretation; the source’s wider device inventory is outside this short incident-report objective.
2018-11-07,Turkey and Defence,withheld,Ursnif / Gozi,10.22.15.119,False,Not counted as a native-summary success. Payload extraction is evaluated independently.,No saved concise story or action list.
2018-10-31,Happy Halloween,withheld,Trickbot,10.100.9.107,False,No saved native short summary; original evidence remains available.,No saved incident explanation or short IOC list.
2018-09-27,Blank Clipboard,missed,,172.16.5.203,True,Workstation/account bindings are present in native packet evidence; the answer text does not explicitly enumerate their values.,"Misses the redirect/download chain and overstates a clean-looking interpretation. Selecting which email initiated it requires the supplied emails, which were not inputs to this run."
2018-08-12,Sputnik House,partial,Marap-associated alert; author leaves precise family uncertain,192.168.1.95,True,Correct workstation/user and recurring POST destination.,"Does not explain the IQY-to-download chain. Its selected suspicious file hash is not listed by the answer, so it is not counted as an answer-confirmed payload."
