candidate	url	title	candidate_tags
0	https://1200km.com/adversarygraph-docs/architecture	Architecture Diagrams	sequence
1	https://1200km.com/adversarygraph-docs/attack-simulation	Attack Simulation	temporal
2	https://1200km.com/adversarygraph-docs/platform-guide	AdversaryGraph Platform Guide	sequence
3	https://1200km.com/adversarygraph-docs/tips	Tips for Analysts	frequency-rate
4	https://1200km.com/ai-security-course/module-00/chapter-01.html	AI Security Course, Module 00 — Part 1: Introduction, AI/ML Taxonomy, and Data Foundations	frequency-rate
5	https://1200km.com/ai-security-course/module-00/chapter-03.html	AI Security Course, Module 00 — Chapter 3: Neural Networks and Optimization	frequency-rate
6	https://1200km.com/anomaly-detection-atlas/attack-basic-detection-rule-catalog	Basic Detection Rules by MITRE ATT&CK TTP	frequency-rate, sequence, negative-absence
7	https://1200km.com/anomaly-detection-atlas/attack-statistical-anomaly-mapping	Suspicious and Malicious Activity Explained by Statistical Anomalies	volumetric, frequency-rate, temporal, peer-group, sequence, graph-relationship, identity-access, rare-process-service, parent-child, state-change
8	https://1200km.com/anomaly-detection-atlas/security-log-source-taxonomy	Vendor-Neutral Security Log Source Taxonomy	graph-relationship
9	https://1200km.com/anomaly-detection-atlas/statistical-anomaly-taxonomy	Statistical Anomaly Taxonomy	volumetric, frequency-rate, temporal, peer-group, sequence, graph-relationship, geographic-asn, identity-access, data-movement, negative-absence
10	https://1200km.com/articles/read/2025/2025-02-24-soc-tier-1-the-complete-onboarding-guide-to-security-monitoring-and-incident-response-824a1dfe4476	SOC Tier 1: The Complete Onboarding Guide to Security Monitoring and Incident Response	identity-access
11	https://1200km.com/articles/read/2025/2025-03-14-authenticator-exe-dearsteeler-0c1d69767939	Authenticator.exe/DearSteeler	temporal
12	https://1200km.com/articles/read/2025/2025-07-11-sending-eks-control-plane-logs-via-aws-lambda-c4ce0cf84c5b	Sending EKS Control Plane Logs via AWS Lambda	volumetric
13	https://1200km.com/articles/read/2025/2025-07-20-cyberattacks-on-4g-lte-telecom-networks-threat-mapping-and-defense-bd0e7fe76f54	Cyberattacks on 4G/LTE Telecom Networks: Threat Mapping and Defense	volumetric
14	https://1200km.com/articles/read/2025/2025-07-20-cyberattacks-on-5g-telecom-networks-threat-mapping-and-defense-aa74f680a7df	Cyberattacks on 5G Telecom Networks: Threat Mapping and Defense	volumetric, data-movement
15	https://1200km.com/articles/read/2025/2025-07-25-phishing-email-awareness-protecting-employees-and-organizations-cf5bc57a0511	Phishing Email Awareness: Protecting Employees and Organizations	temporal
16	https://1200km.com/articles/read/2025/2025-10-18-automating-a-safe-dvwa-lab-with-ansible-build-a-reproducible-vulnerable-environment-for-tr-026d74697c4a	Automating a Safe DVWA Lab with Ansible: Build a Reproducible Vulnerable Environment for Training…	peer-group
17	https://1200km.com/articles/read/2025/2025-11-07-cloud-native-security-threats-attacks-and-detection-strategies-55b3dd6ea2d1	Cloud-Native Security Threats, Attacks, and Detection Strategies	geographic-asn, identity-access
18	https://1200km.com/articles/read/2025/2025-11-23-spiderfoot-deep-dive-installation-scans-and-practical-use-cases-11ea6537ad6f	SpiderFoot Deep Dive: Installation, Scans, and Practical Use Cases	sequence
19	https://1200km.com/articles/read/2025/2025-11-24-reinventing-recon-nmap-meets-chatgpt-e2acb6130be5	Reinventing Recon: Nmap Meets ChatGPT	sequence
20	https://1200km.com/articles/read/2025/2025-12-01-single-event-detection-rules-in-cybersecurity-aa7498f665bd	Single-Event Detection Rules in Cybersecurity	sequence, geographic-asn, identity-access, data-movement, state-change
21	https://1200km.com/articles/read/2025/2025-12-02-correlation-based-detection-rules-in-cybersecurity-from-atomic-events-to-behavioral-insigh-1b3df31597bb	Correlation-Based Detection Rules in Cybersecurity: From Atomic Events to Behavioral Insight	frequency-rate, sequence, geographic-asn, identity-access, state-change
22	https://1200km.com/articles/read/2025/2025-12-12-protocol-level-network-threat-hunting-a-wireshark-centric-guide-a6770ffc96c6	Protocol-Level Network Threat Hunting: A Wireshark-Centric Guide	temporal, protocol-application
23	https://1200km.com/articles/read/2025/2025-12-14-endpoint-threat-hunting-proactive-detection-on-windows-linux-and-macos-f892d9b8a113	Endpoint Threat Hunting: Proactive Detection on Windows, Linux, and macOS	identity-access, parent-child
24	https://1200km.com/articles/read/2026/2026-01-04-hexstrike-gemini-ai-assisted-ssh-credential-brute-force-a9162f8e253b	HexStrike + Gemini. AI-Assisted SSH Credential Brute-Force	frequency-rate
25	https://1200km.com/articles/read/2026/2026-01-05-hexstrike-gemini-ai-assisted-smb-exposure-credential-brute-force-2c5f99dcdbf4	HexStrike + Gemini. AI-Assisted SMB Exposure Credential Brute-Force	volumetric, frequency-rate
26	https://1200km.com/articles/read/2026/2026-01-19-the-ai-revolution-in-offensive-security-31e44704d51a	The AI Revolution in Offensive Security	identity-access
27	https://1200km.com/articles/read/2026/2026-01-26-active-directory-penetration-testing-745cfb31d7d3	Active Directory Penetration Testing	identity-access
28	https://1200km.com/articles/read/2026/2026-01-28-adcs-esc8-attack-certificate-based-domain-compromise-complete-guide-7ec76562fa6d	ADCS ESC8 Attack: Certificate-Based Domain Compromise — Complete Guide	temporal
29	https://1200km.com/articles/read/2026/2026-01-29-cursor-hexstrike-fully-automated-adcs-esc8-attack-8736fec53c58	Cursor + Hexstrike. Fully Automated ADCS ESC8 Attack	identity-access
30	https://1200km.com/articles/read/2026/2026-03-06-cti-research-handala-hack-group-aka-handala-hack-team-ddbdd294cfb8	CTI Research: Handala Hack Group (aka Handala Hack Team)	identity-access, parent-child
31	https://1200km.com/articles/read/2026/2026-03-07-cti-research-sandworm-apt44-649332e8af44	CTI Research: Sandworm / APT44	identity-access, protocol-application, state-change
32	https://1200km.com/articles/read/2026/2026-03-09-cti-research-muddywater-seedworm-mango-sandstorm-ebf6af5ba061	CTI Research: MuddyWater/Seedworm (Mango Sandstorm)	parent-child, protocol-application
33	https://1200km.com/articles/read/2026/2026-03-14-stratusai-i-built-an-ai-powered-cloud-security-scanner-for-aws-and-gcp-here-s-everything-89c6702d3b84	StratusAI: I Built an AI-Powered Cloud Security Scanner for AWS and GCP — Here’s Everything	data-movement
34	https://1200km.com/articles/read/2026/2026-03-19-att-and-ck-as-a-working-tool-theory-and-hands-on-practical-usage-d63835c9f101	ATT&CK as a Working Tool: Theory and Hands-On Practical Usage	temporal
35	https://1200km.com/articles/read/2026/2026-03-20-attribution-methodology-how-to-build-defend-and-challenge-a-threat-actor-attribution-071066437ced	Attribution Methodology: How to Build, Defend, and Challenge a Threat Actor Attribution	temporal
36	https://1200km.com/articles/read/2026/2026-03-21-infrastructure-pivoting-how-cti-analysts-expand-from-a-single-ioc-to-a-full-attacker-netwo-1295d50ec29c	Infrastructure Pivoting: How CTI Analysts Expand From a Single IOC to a Full Attacker Network	temporal
37	https://1200km.com/articles/read/2026/2026-04-12-ai-in-offensive-operations-how-threat-actors-use-artificial-intelligence-4eaeeaf029a9	AI in Offensive Operations: How Threat Actors Use Artificial Intelligence	volumetric, identity-access
38	https://1200km.com/articles/read/2026/2026-04-14-from-threat-intelligence-to-detection-a-practitioner-s-guide-2d930b168426	From Threat Intelligence to Detection: A Practitioner’s Guide	volumetric, frequency-rate, temporal, sequence, identity-access, parent-child
39	https://1200km.com/articles/read/2026/2026-04-18-what-ai-assisted-offensive-work-actually-means-for-your-detection-program-a-practitioner-s-9c27a8f40f12	What AI-Assisted Offensive Work Actually Means for Your Detection Program: A Practitioner’s…	sequence
40	https://1200km.com/articles/read/2026/2026-04-20-malicious-activity-as-a-statistical-signal-a-detection-engineering-analysis-of-anomaly-bas-90df8b6dea12	Malicious Activity as a Statistical Signal: Anomaly Detection Engineering	volumetric, frequency-rate, temporal, peer-group, sequence, graph-relationship, geographic-asn, identity-access, rare-process-service, parent-child, data-movement, protocol-application, negative-absence, state-change
41	https://1200km.com/articles/read/2026/2026-04-22-detecting-malicious-insider-activity-a-technical-detection-engineering-guide-3c3b41e95e82	Detecting Malicious Insider Activity: A Technical Detection Engineering Guide	volumetric, frequency-rate, temporal, peer-group, sequence, geographic-asn, identity-access, data-movement, protocol-application, state-change
42	https://1200km.com/articles/read/2026/2026-04-25-cti-research-kubernetes-and-cloud-native-threat-landscape-70373d6d7a87	CTI Research: Kubernetes & Cloud-Native Threat Landscape	identity-access
