publication_id,primary_source_id,companion_source_ids,title,publisher,publisher_domain,publication_date,publication_date_precision,publication_date_method,publication_year,source_type,relevance_basis,statistical_use,primary_url,all_urls,retrieval_methods,duplicate_group,source_record_count,max_token_count,tag_count,metric_count,ioc_count,threat_groups,campaigns,sectors,countries_or_regions,targets,kill_chain_phases,mitre_tactics,mitre_attack_ids,ttps,attack_vectors,ai_use_cases,ai_technologies,llm_providers,llm_models,malicious_ai_tools,malware_or_tools,data_types,infrastructure,actor_motivations,impacts,evidence_landscape,cves,manual_review_required,content_quality,analysis_inclusion,ai_relevance,ai_term_count,offense_term_count
pub-001,src-001,,[2408.03354] The Use of Large Language Models (LLM) for Cyber Threat Intelligence (CTI) in Cybercrime Forums,arXiv,arxiv.org,2024-08,month,arxiv_id_month,2024,empirical_or_academic,ai-cyber research or controlled study,possible_denominator,https://arxiv.org/abs/2408.03354,https://arxiv.org/abs/2408.03354,direct,,1,769,7,3,0,,,Critical Infrastructure,,,,,,,,,Large language model,Hugging Face|OpenAI,,,,,Email,,,Controlled study|Underground-market observation,,yes,usable_machine_extraction,context_only,background_ai_mention,23,0
pub-002,src-002,,[2410.20287] AI-Driven Cyber Threat Intelligence Automation,arXiv,arxiv.org,2024-10,month,arxiv_id_month,2024,empirical_or_academic,ai-cyber research or controlled study,possible_denominator,https://arxiv.org/abs/2410.20287,https://arxiv.org/abs/2410.20287,direct,,1,660,6,0,0,,,,,,,,,,,,Large language model,Hugging Face,GPT-4,,,,Email,,,Controlled study|Underground-market observation,,yes,usable_machine_extraction,context_only,background_ai_mention,14,0
pub-003,src-003,,[2502.00961] AI-Powered Spearphishing Cyber Attacks: Fact or Fiction?,arXiv,arxiv.org,2025-02,month,arxiv_id_month,2025,empirical_or_academic,ai-cyber research or controlled study,possible_denominator,https://arxiv.org/abs/2502.00961,https://arxiv.org/abs/2502.00961,direct,,1,629,8,2,0,,,,,,,,,Deepfake impersonation|Spearphishing,Spearphishing,Deepfake video or image,Deepfake / synthetic media,Hugging Face,,,,,Email,,,Controlled study,,yes,usable_machine_extraction,include_with_manual_validation,core_ai_attack,11,8
pub-004,src-004,src-099,Emerging AI Threats: The Future of Automated Operations,Recorded Future,assets.recordedfuture.com,2025-08,month,publisher_verified_override,2025,vendor_threat_report,"threat landscape, incident-response, or CTI report",context_or_observation,https://www.recordedfuture.com/research/emerging-ai-threats-future-of-automated-operations,https://assets.recordedfuture.com/Executive-Insights/eir-2025-0828.pdf|https://www.recordedfuture.com/research/emerging-ai-threats-future-of-automated-operations,direct,dup-001,2,1795,63,3,0,,,Critical Infrastructure|Defense|Government,Canada|China|Iran|Russia,Developers|Employees|Executives,Actions on Objectives|Delivery|Exploitation|Reconnaissance|Weaponization,Defense Evasion|Discovery|Exfiltration|Impact|Initial Access|Reconnaissance|Resource Development,,Credential theft|Data exfiltration|Deepfake impersonation|Defense evasion|Malware generation|Prompt injection|Spearphishing,Spearphishing,Code debugging and scripting|Deepfake video or image|Identity fraud and impersonation|Influence operations|Malware development|Obfuscation and evasion|Phishing and lure generation|Reconnaissance and target research|Translation and localization,Agentic AI|Deepfake / synthetic media|Generative AI|Large language model,Anthropic|OpenAI,Claude,FraudGPT|WormGPT,LAMEHUG,Credentials and passwords|Personally identifiable information,Browser|Social media,Hacktivism|Influence / information operations,Credential compromise|Data theft or exfiltration|Financial fraud|Ransomware or extortion|Service disruption,Forecast or prediction|Incident response|Underground-market observation,,yes,usable_machine_extraction,include_with_manual_validation,core_ai_attack,66,59
pub-005,src-005,,Cisco Talos 2024 Year in Review,Cisco Talos,blog.talosintelligence.com,2025-03-31,day,publisher_verified_override,2025,operational_cti,"campaign, actor, malware, or abuse investigation",incident_or_observation,https://blog.talosintelligence.com/available-now-2024-year-in-review/,https://blog.talosintelligence.com/content/files/2025/03/2024YiR-report.pdf|https://blog.talosintelligence.com/available-now-2024-year-in-review/,direct,,1,11552,126,123,0,Akira|APT28 / Fancy Bear|APT29 / Cozy Bear|Black Basta|Lazarus Group|RansomHub|Scattered Spider|APT28|APT29,Operation Cronos,Critical Infrastructure|Education|Financial Services|Government|Legal Services|Manufacturing|Nonprofit / NGO|Telecommunications|Transportation and Logistics,North Korea|Russia|Ukraine|United States,Developers|Employees,Actions on Objectives|Command and Control|Delivery|Exploitation|Installation|Reconnaissance|Weaponization,Command and Control|Credential Access|Defense Evasion|Discovery|Execution|Exfiltration|Impact|Initial Access|Lateral Movement|Persistence|Privilege Escalation|Reconnaissance|Resource Development,,Business email compromise|CAPTCHA bypass|Command and control|Credential theft|Data exfiltration|Deepfake impersonation|Defense evasion|Malware generation|MFA/session-token theft|Password spraying|Phishing link or attachment|PowerShell execution|Ransomware deployment|Target research / OSINT|Voice phishing / vishing|Vulnerability scanning,Business email compromise|Credential theft|Vishing,CAPTCHA bypass|Code debugging and scripting|Deepfake video or image|Identity fraud and impersonation|Malware development|Obfuscation and evasion|Reconnaissance and target research|Vulnerability research,Agentic AI|Deepfake / synthetic media|Generative AI|Large language model,,,,BianLian ransomware|BlackBasta ransomware|Cobalt Strike|LockBit ransomware|Mimikatz,Credentials and passwords|Documents and files|Financial and payment data|Personally identifiable information|Session cookies or tokens|Source code,Browser|Cloud|Email|Endpoint|Messaging platform|Social media,Disruption / destruction|Financial,Credential compromise|Data theft or exfiltration|Financial fraud|Ransomware or extortion|Service disruption,Forecast or prediction|Incident response|Underground-market observation,CVE-2014-0160|CVE-2014-6271|CVE-2014-6277|CVE-2014-6278|CVE-2014-7169|CVE-2017-9841|CVE-2021-44228|CVE-2021-44529|CVE-2021-44832|CVE-2021-45046|CVE-2021-45105|CVE-2022-20933|CVE-2023-1389|CVE-2023-36845|CVE-2023-38035|CVE-2023-42793|CVE-2024-0012|CVE-2024-24919|CVE-2024-3272|CVE-2024-3273|CVE-2024-3400|CVE-2024-36401|CVE-2024-4577,yes,usable_machine_extraction,include_with_manual_validation,core_ai_attack,64,366
pub-006,src-006,,"“Keep going, bro. You’ve got this!” A data-driven look at how adversaries are weaponizing AI",Cisco Talos,blog.talosintelligence.com,2026-08-04,day,metadata,2026,operational_cti,"campaign, actor, malware, or abuse investigation",incident_or_observation,https://blog.talosintelligence.com/keep-going-bro-youve-got-this-a-data-driven-look-at-how-adversaries-are-weaponizing-ai/,https://blog.talosintelligence.com/keep-going-bro-youve-got-this-a-data-driven-look-at-how-adversaries-are-weaponizing-ai/,direct,,1,8123,50,7,2,UAT-10147|UAT-10147,,Cryptocurrency,Brazil|China|France|Russia,Developers,Actions on Objectives|Command and Control|Delivery|Exploitation|Installation|Reconnaissance,Collection|Command and Control|Credential Access|Discovery|Execution|Initial Access|Persistence|Reconnaissance,,Command and control|Credential theft,Credential theft,Malware development|Reconnaissance and target research|Translation and localization|Vulnerability research,Agentic AI|Large language model,Anthropic|Google|Hugging Face|OpenAI,Claude|Gemini,,,Credentials and passwords|Documents and files|Source code,Browser|Email|Endpoint|Messaging platform|Mobile|SaaS,,Service disruption,Forecast or prediction|Incident response|Proof of concept,,yes,usable_machine_extraction,include_with_manual_validation,core_ai_attack,105,49
pub-007,src-007,,UAT-10147: Chinese-speaking adversary integrates agentic AI into post-compromise operations,Cisco Talos,blog.talosintelligence.com,2026-08-20,day,metadata,2026,operational_cti,"campaign, actor, malware, or abuse investigation",incident_or_observation,https://blog.talosintelligence.com/uat-10147-chinese-speaking-adversary-integrates-agentic-ai-into-post-compromise-operations/,https://blog.talosintelligence.com/uat-10147-chinese-speaking-adversary-integrates-agentic-ai-into-post-compromise-operations/,direct,,1,4001,70,1,0,UAT-10147|UAT-10147,,Education|Government,Brazil|Canada|China|Vietnam,Developers|Security researchers,Actions on Objectives|Command and Control|Delivery|Exploitation|Installation|Reconnaissance|Weaponization,Command and Control|Credential Access|Defense Evasion|Discovery|Execution|Exfiltration|Initial Access|Persistence|Privilege Escalation|Reconnaissance,,Command and control|Credential theft|Data exfiltration|Defense evasion|PowerShell execution|Vulnerability scanning,Credential theft,Code debugging and scripting|Identity fraud and impersonation|Obfuscation and evasion|Reconnaissance and target research|Vulnerability research,Agentic AI|Generative AI,Anthropic|Google,Claude|Gemini,,BadIIS malware|QuasarRAT,Credentials and passwords|Documents and files|Source code,Browser|Email|Endpoint|SaaS,Financial,Data theft or exfiltration,Forecast or prediction|Incident response|Proof of concept,CVE-2010-3904|CVE-2015-3246|CVE-2015-5287|CVE-2019-18935|CVE-2021-23758|CVE-2021-29441|CVE-2021-29442|CVE-2021-3156|CVE-2022-0847|CVE-2022-0995|CVE-2022-27925,yes,usable_machine_extraction,include_with_manual_validation,core_ai_attack,28,102
pub-008,src-008,,2024 State of Multicloud Security Report,Microsoft,cdn-dynmedia-1.microsoft.com,2024-05-29,day,publisher_verified_override,2024,provider_or_government_report,"AI misuse, abuse-disruption, or threat research report",incident_or_observation,https://www.microsoft.com/en-us/security/blog/2024/05/29/6-insights-from-microsofts-2024-state-of-multicloud-risk-report-to-evolve-your-security-strategy/,https://cdn-dynmedia-1.microsoft.com/is/content/microsoftcorp/microsoft/final/en-us/microsoft-brand/documents/2024-State-of-Multicloud-Security-Risk-Report.pdf|https://www.microsoft.com/en-us/security/blog/2024/05/29/6-insights-from-microsofts-2024-state-of-multicloud-risk-report-to-evolve-your-security-strategy/,direct,,1,6264,25,59,0,,,Energy|Government,China,Developers|Employees|Executives,Actions on Objectives|Exploitation,Execution|Impact|Initial Access,,Password spraying|Supply-chain compromise,Supply chain,,Generative AI|Large language model,,,,,Credentials and passwords|Source code,Cloud|Email|Endpoint,,Data theft or exfiltration|Ransomware or extortion|Service disruption,Forecast or prediction,,yes,usable_machine_extraction,include_with_manual_validation,core_ai_attack,4,96
pub-009,src-009,,CERT-EU - Threat Landscape Report 2025 - A Year In Review,CERT-EU,cert.europa.eu,2025,year,url_year_only,2025,government_or_law_enforcement,"official advisory, fraud alert, or regional threat report",context_or_incident,https://cert.europa.eu/publications/threat-intelligence/tlr2025/,https://cert.europa.eu/publications/threat-intelligence/tlr2025/,direct,,1,400,11,3,0,,,,,,Delivery|Exploitation,Initial Access,,Voice phishing / vishing,Vishing,Deepfake video or image,Deepfake / synthetic media,,,,,,Browser,Espionage,Espionage,Threat landscape report,,yes,usable_machine_extraction,include_with_manual_validation,core_ai_attack,3,6
pub-010,src-010,,CERT-UA,CERT-UA,cert.gov.ua,2026-08-12,day,metadata,2026,other,requires manual relevance review,do_not_aggregate,https://cert.gov.ua/article/6284730,https://cert.gov.ua/article/6284730,jina_reader_proxy,,1,414,2,0,46,,,,,,,,,,,,,,,,Cobalt Strike,,Browser,,,,,yes,usable_machine_extraction,exclude_non_ai,non_ai,0,0
