case,name,analysis_id,native_packets_unchanged,native_context_unchanged,ioc_candidates,external_eligible_candidates,eligible_candidates_with_attempt_record,enrichment_targets,summary_valid,model,provider,baseline_report_words,short_markdown_words,summary_words,generation_seconds,successful_summary_tokens,generation_attempts,story_iocs,current_screenshot_verified,current_screenshot_visually_reviewed,failure
2020-04-24,Steelcoffee,c66676ab-7276-4989-8c27-65017a63c2ba,True,True,4,3,3,100,True,gpt-4.1-2025-04-14,openai,13066,243,199,6.9,12072,1,1,True,True,
2020-03-14,Mondogreek,246dbce6-c561-4434-bedb-dd496ba758d2,True,True,3,3,3,75,True,gpt-4.1-2025-04-14,openai,8531,177,136,71.549,21433,2,3,True,True,
2020-02-21,One-Hot-Mess,d9aa0de8-e06d-40b7-bffc-2e1af3c53ea0,True,True,0,0,0,61,True,gpt-4.1-2025-04-14,openai,2409,198,158,4.555,6093,1,0,True,True,
2020-01-30,Sol-Lightnet,05851801-c224-489b-b9da-9e5d035c60b4,True,True,16,4,4,71,True,claude-opus-4-8,claude,7085,187,150,80.92,30684,2,0,True,True,
2019-12-25,It happened on Christmas day,389d8086-ac21-4e6d-9270-fdd62ee6d5b0,True,True,3,1,1,1,True,gpt-4.1-2025-04-14,openai,6423,162,124,6.158,5122,1,2,True,True,
2019-12-03,Icemaiden,fa0da8be-03fb-404d-a526-6c99c6b4f000,True,True,0,0,0,60,True,gpt-4.1-2025-04-14,openai,4435,168,131,4.296,4669,1,0,True,True,
2019-11-12,Okay-Boomer,76f521c2-4e4a-41d5-95ad-a44fd9887dd8,True,True,0,0,0,98,True,gpt-4.1-2025-04-14,openai,16448,181,143,6.572,10662,1,0,True,True,
2019-08-20,Badbundt,1c2e6d58-c62a-4009-939b-3aa82de281a2,True,True,5,4,4,40,False,,,3075,,,,,,,True,True,Report did not pass evidence/length validation (schema_missing); no report saved
2019-07-19,So hot right now,961bdc9a-7460-440f-a246-f55748149bcc,True,True,6,3,3,74,True,gpt-4.1-2025-04-14,openai,12054,209,164,70.35,20353,2,2,True,True,
2019-06-22,Phenomenoc,8879e360-655c-4073-beb9-68018699a4d4,True,True,0,0,0,57,True,gpt-4.1-2025-04-14,openai,4875,135,99,5.155,7926,1,0,True,True,
2019-05-02,BeguileSoft,d4027bcf-0ef6-4e3c-a68a-68dfe35adb33,True,True,0,0,0,7,True,gpt-4.1-2025-04-14,openai,1506,196,159,69.796,11277,2,0,True,True,
2019-04-15,StingrayAhoy,0bb7a995-231c-4046-95ec-acea419eb7b4,True,True,1,1,1,31,False,,,2519,,,,,,,True,True,Report did not pass evidence/length validation (unknown_source); no report saved
2019-03-19,LittleTigers,bd9602ed-341a-4123-aae3-9fafa5731518,True,True,0,0,0,16,True,gpt-4.1-2025-04-14,openai,1879,183,143,4.937,6239,1,0,True,True,
2019-02-23,StormTheory,5bff54cd-16de-44cb-a009-c88818ce138f,True,True,6,5,5,53,True,gpt-4.1-2025-04-14,openai,5493,151,116,71.182,18165,2,0,True,True,
2019-01-28,TimberShade,f4c6d05d-a600-4616-9c66-c96965645a65,True,True,0,0,0,11,True,gpt-4.1-2025-04-14,openai,1388,124,87,69.931,10295,2,0,True,True,
2018-12-18,Eggnog Soup,0c443755-98f4-45dd-a9c4-e04e0415fe14,True,True,38,23,23,164,True,gpt-4.1-2025-04-14,openai,25215,163,127,6.514,8449,1,0,True,True,
2018-11-07,Turkey and Defence,bf107971-6797-4f93-9ffc-1301c6363bd9,True,True,0,0,0,77,False,,,9899,,,,,,,True,True,Report did not pass evidence/length validation (unknown_source); no report saved
2018-10-31,Happy Halloween,403cf219-db40-48ee-8a71-311000d90bfa,True,True,0,0,0,19,False,,,1862,,,,,,,True,True,Report did not pass evidence/length validation (schema_literal_error); no report saved
2018-09-27,Blank Clipboard,0e0621ff-1831-43a5-b884-8ae7b2febaf3,True,True,0,0,0,18,True,gpt-4.1-2025-04-14,openai,1752,160,123,7.007,5356,1,0,True,True,
2018-08-12,Sputnik House,720a1250-ec20-4280-911f-2a97345018f1,True,True,3,2,2,81,True,gpt-4.1-2025-04-14,openai,11499,218,169,15.151,8091,1,3,True,True,
